T,Cp,dH0,S0,ght
298.15,25.084,0,0,27.085
300,25.141,48,0.155,27.085
350,26.321,1334,4.122,27.397
400,27.427,2677,7.71,28.102
450,28.532,4076,11.004,29.031
500,29.638,5531,14.966,30
550,30.81,7042,16.947,31.229
600,32.008,8612,19.678,32.41
650,33.26,10243,22.289,33.615
700,34.618,11940,24.805,34.833
750,36.153,13709,27.246,36.053
800,37.924,15559,29.633,37.27
850,40.17,17508,31.995,38.483
900,43.157,19587,34.37,39.692
925,45.152,20690,35.379,40.297
950,47.642,21848,36.815,40.902
975,50.691,23076,38.09,41.507
1000,54.458,24389,39.419,42.115
1010,56.815,24944,39.971,42.36
1020,60.104,25528,40.548,42.605
1030,65.49,26154,41.159,42.852
1035,69.42,26491,41.486,42.976
1040,704.9,26851,41.833,43.1
1042,78.69,27004,41.98,43.149
1043,83.77,17085,41.058,43.175
1044,74.54,27163,42.133,43.199
1046,68.27,27306,41.269,43.249
1048,63.98,27438,42.395,43.298
1050,60.9,27563,42.514,43.349
1055,56.348,27854,42.791,43.474
1060,53.85,28129,43.051,43.599
1070,50.138,28642,43.533,43.849
1080,47.462,29129,43.986,44.099
1090,45.675,29595,44.414,44.348
1100,44.35,30044,44.825,44.597
1125,42.223,31124,45.795,45.214
1150,41.063,32164,46.709,45.826
1175,40.262,33178,47.583,46.431
1185,40,33511,47.923,46.6
1185,33.775,34481,48.23,46.6
1200,33.905,34989,49.108,47.036
1250,34.353,36695,50.501,48.23
1300,34.809,38424,51.857,49.385
1350,35.28,40176,53.179,50.504
1400,35.75,41952,54.471,51.59
1450,36.22,43751,55.734,52.645
1500,36.69,45574,56.97,53.672
1550,37.161,47420,58.18,54.672
1600,37.63,49290,59.368,55.646
1650,38.1,51183,60.533,56.597
1667,38.26,51832,60.924,56.916
1667,40.4,52682,61.434,56.916
1700,41.454,54033,62.236,57.537
1750,43.051,56145,63.461,58.463
1800,44.649,58338,64.696,59.371
1811,45,58131,64.969,59.569
1811,46.632,72641,72.595,59.569
1900,46.632,76791,74.832,61.501
2000,46.632,11318,77.19,63.581
2200,46.632,90714,81.634,67.486
2400,46.632,100041,85.692,71.093
2600,46.632,109367,89.424,74.445
2800,46.632,118693,92.88,77.575
3000,46.632,118020,96.098,80.509
3110,46.632,133149,97.617,81.899
3200,46.632,137380,99.124,83.278
